"Coach","Year","Rating","Rank"
"Howard Schnellenberger",2005,1437.2742623721,114
"Howard Schnellenberger",2006,1439.03840784376,121
"Howard Schnellenberger",2007,1494.77672052933,85
"Howard Schnellenberger",2008,1494.68513674823,92
"Howard Schnellenberger",2009,1481.1766958338,115
"Howard Schnellenberger",2010,1433.03779123097,189
"Howard Schnellenberger",2011,1357.67283524251,245
"Hugh Freeze",2011,1540.25362910988,49
"Hugh Freeze",2012,1537.50947079233,62
"Hugh Freeze",2013,1553.66437125051,47
"Hugh Freeze",2014,1576.91721489071,37
"Hugh Freeze",2015,1599.72393422144,19
"J.D. Brookhart",2005,1503.41347563089,58
"J.D. Brookhart",2006,1470.70501019747,96
"J.D. Brookhart",2007,1441.99868511098,136
"J.D. Brookhart",2008,1429.49202222537,152
"J.D. Brookhart",2009,1390.88129355592,189
"Jack Bicknell, Jr.",2005,1526.76619240037,31
"Jack Bicknell, Jr.",2006,1441.21078729706,115
"James Franklin",2011,1488.45868588825,138
"James Franklin",2012,1556.0299142253,42
"James Franklin",2013,1571.78658164775,35
"James Franklin",2014,1546.1706897307,48
"James Franklin",2015,1536.1155104349,63
"Jason Gesser",2012,1408.52765851996,251
"Jeff Bower",2005,1498.26240996617,62
"Jeff Bower",2006,1517.58938433148,49
"Jeff Bower",2007,1497.72450720618,80
"Jeff Brohm",2014,1536.46628504982,63
"Jeff Brohm",2015,1606.795694679,17
"Jeff Genyk",2005,1469.13797669852,97
"Jeff Genyk",2006,1390.50996118818,133
"Jeff Genyk",2007,1395.67264130069,156
"Jeff Genyk",2008,1373.53859582728,169
"Jeff Horton",2010,1462.09927113888,160
"Jeff Jagodzinski",2007,1579.66258890549,23
"Jeff Jagodzinski",2008,1561.63587043075,30
"Jeff Monken",2010,1501.3306780735,97
"Jeff Monken",2011,1496.58904782437,115
"Jeff Monken",2012,1491.9157004375,141
"Jeff Monken",2013,1495.85363968784,145
"Jeff Monken",2014,1467.53929653839,237
"Jeff Monken",2015,1408.58245342575,314
